IMAX,JMAX,KMAX
37,9,2
I,J,K,X,Y,Z
22,6,0,2.42548,-0.134024,-0.027
23,6,0,2.51948,-0.213025,-0.028
24,6,0,2.61148,-0.282781,-0.029
25,6,0,2.70646,-0.339575,-0.031
26,6,0,2.80622,-0.375863,-0.032
27,6,0,2.91,-0.388,-0.033
28,6,0,3.01372,-0.374877,-0.034
29,6,0,3.11354,-0.339575,-0.035
30,6,0,3.20852,-0.282781,-0.037
31,6,0,3.30064,-0.212924,-0.038
32,6,0,3.39452,-0.134024,-0.039
33,6,0,3.49652,-0.0567812,-0.04
34,6,0,3.61154,0.0114249,-0.042
35,6,0,3.74078,0.0581374,-0.043
36,6,0,3.88,0.075,-0.044
0,7,0,0,0.1125,0
1,7,0,0.148111,0.0945687,-0.001
2,7,0,0.284732,0.0452124,-0.002
3,7,0,0.404739,-0.0258906,-0.004
4,7,0,0.50924,-0.105012,-0.005
5,7,0,0.60324,-0.184012,-0.006
6,7,0,0.692739,-0.251891,-0.007
7,7,0,0.782732,-0.305788,-0.009
8,7,0,0.875111,-0.339431,-0.01
9,7,0,0.97,-0.3505,-0.011
10,7,0,1.06486,-0.338438,-0.012
11,7,0,1.15727,-0.305788,-0.013
12,7,0,1.24726,-0.251891,-0.015
13,7,0,1.33682,-0.183962,-0.016
14,7,0,1.43076,-0.105012,-0.017
15,7,0,1.53526,-0.0258906,-0.018
16,7,0,1.65527,0.0452124,-0.02
17,7,0,1.79189,0.0945687,-0.021
18,7,0,1.94,0.1125,-0.022
19,7,0,2.08811,0.0945687,-0.023
20,7,0,2.22473,0.0452124,-0.024
21,7,0,2.34474,-0.0258906,-0.026
22,7,0,2.44924,-0.105012,-0.027
23,7,0,2.54324,-0.184012,-0.028
24,7,0,2.63274,-0.251891,-0.029
25,7,0,2.72273,-0.305788,-0.031
26,7,0,2.81511,-0.339431,-0.032
27,7,0,2.91,-0.3505,-0.033
28,7,0,3.00486,-0.338438,-0.034
29,7,0,3.09727,-0.305788,-0.035
30,7,0,3.18726,-0.251891,-0.037
31,7,0,3.27682,-0.183962,-0.038
32,7,0,3.37076,-0.105012,-0.039
33,7,0,3.47526,-0.0258906,-0.04
34,7,0,3.59527,0.0452124,-0.042
35,7,0,3.73189,0.0945687,-0.043
36,7,0,3.88,0.1125,-0.044
0,8,0,0,0.15,0
1,8,0,0.157,0.131,-0.001
2,8,0,0.301,0.079,-0.002
3,8,0,0.426,0.005,-0.004
4,8,0,0.533,-0.076,-0.005
5,8,0,0.627,-0.155,-0.006
6,8,0,0.714,-0.221,-0.007
7,8,0,0.799,-0.272,-0.009
8,8,0,0.884,-0.303,-0.01
9,8,0,0.97,-0.313,-0.011
10,8,0,1.056,-0.302,-0.012
11,8,0,1.141,-0.272,-0.013
12,8,0,1.226,-0.221,-0.015
13,8,0,1.313,-0.155,-0.016
14,8,0,1.407,-0.076,-0.017
15,8,0,1.514,0.005,-0.018
16,8,0,1.639,0.079,-0.02
17,8,0,1.783,0.131,-0.021
18,8,0,1.94,0.15,-0.022
