time(s)	stage(m)
446400	1.01195672
448200	1.009341268
450000	1.006725598
451800	1.004109707
453600	1.002365659
455400	0.999749402
457200	0.999749402
459000	0.997132927
460800	0.997132927
462600	0.997132927
464400	0.997132927
466200	0.992771646
468000	0.991899317
469800	0.988409756
471600	0.984047256
473400	0.983174683
475200	0.979684146
477000	0.977065988
478800	0.977065988
480600	0.97444761
482400	0.971829012
484200	0.971829012
486000	0.971829012
487800	0.969210195
489600	0.969210195
491400	0.969210195
493200	0.966591159
495000	0.966591159
496800	0.963971902
498600	0.963971902
500400	0.963971902
502200	0.961352427
504000	0.961352427
505800	0.961352427
507600	0.957859451
509400	0.957859451
511200	0.955239463
513000	0.955239463
514800	0.952619256
516600	0.952619256
518400	0.950872329
520200	0.950872329
522000	0.948251756
523800	0.945630963
525600	0.943009951
527400	0.943009951
529200	0.939514927
531000	0.937767268
532800	0.937767268
534600	0.931649695
536400	0.931649695
538200	0.92640511
540000	0.923782488
541800	0.923782488
543600	0.921159646
545400	0.918536585
547200	0.915913305
549000	0.915913305
550800	0.913289805
552600	0.913289805
554400	0.910666085
556200	0.910666085
558000	0.908042146
559800	0.908042146
561600	0.908042146
563400	0.908042146
565200	0.908042146
567000	0.905417988
568800	0.905417988
570600	0.90279361
572400	0.90279361
574200	0.90279361
576000	0.90279361
577800	0.905417988
579600	0.908042146
581400	0.905417988
583200	0.905417988
585000	0.905417988
586800	0.905417988
588600	0.905417988
590400	0.905417988
592200	0.905417988
594000	0.905417988
595800	0.908042146
597600	0.910666085
599400	0.913289805
601200	0.915913305
603000	0.921159646
604800	0.923782488
606600	0.92640511
608400	0.929027512
610200	0.929027512
612000	0.931649695
613800	0.929027512
615600	0.929027512
617400	0.929027512
619200	0.92640511
621000	0.92640511
622800	0.923782488
624600	0.921159646
626400	0.921159646
628200	0.921159646
630000	0.918536585
631800	0.918536585
633600	0.918536585
635400	0.915913305
637200	0.915913305
639000	0.915913305
640800	0.913289805
642600	0.913289805
644400	0.913289805
646200	0.908042146
648000	0.908042146
649800	0.908042146
651600	0.905417988
653400	0.905417988
655200	0.90279361
657000	0.90279361
658800	0.900169012
660600	0.900169012
662400	0.900169012
664200	0.900169012
666000	0.898419159
667800	0.898419159
669600	0.900169012
671400	0.90279361
673200	0.90279361
675000	0.905417988
676800	0.905417988
678600	0.905417988
680400	0.905417988
682200	0.90279361
684000	0.90279361
685800	0.900169012
687600	0.900169012
689400	0.898419159
