     Y                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18
           30 -0.1663990E+03 -0.1075500E+03 -0.5104997E+02  0.3763574E+01  0.5735532E+02  0.1151777E+03  0.1722584E+03  0.2286188E+03  0.2842654E+03  0.3391957E+03  0.3933961E+03  0.4468367E+03  0.4994640E+03  0.5511900E+03  0.5823812E+03  0.6132225E+03  0.6436850E+03  0.6737123E+03
           31 -0.1727134E+03 -0.1125241E+03 -0.5516916E+02  0.1693668E+00  0.5405989E+02  0.1117985E+03  0.1685898E+03  0.2244625E+03  0.2794368E+03  0.3335190E+03  0.3866983E+03  0.4389421E+03  0.4901896E+03  0.5403381E+03  0.5737655E+03  0.6066155E+03  0.6388917E+03  0.6705569E+03
           32 -0.1749624E+03 -0.1146405E+03 -0.5727041E+02 -0.2050914E+01  0.5156380E+02  0.1091952E+03  0.1656674E+03  0.2210306E+03  0.2753224E+03  0.3285605E+03  0.3807402E+03  0.4318313E+03  0.4817752E+03  0.5304779E+03  0.5661504E+03  0.6010541E+03  0.6351727E+03  0.6684641E+03
           33 -0.1730341E+03 -0.1137539E+03 -0.5720297E+02 -0.2751180E+01  0.5009386E+02  0.1075661E+03  0.1636683E+03  0.2184834E+03  0.2720715E+03  0.3244639E+03  0.3756633E+03  0.4256447E+03  0.4743567E+03  0.5217244E+03  0.5596680E+03  0.5966666E+03  0.6326539E+03  0.6675730E+03
           34 -0.1666707E+03 -0.1094944E+03 -0.5454456E+02 -0.1501541E+01  0.4989331E+02  0.1071175E+03  0.1627668E+03  0.2169736E+03  0.2698239E+03  0.3213618E+03  0.3715962E+03  0.4205058E+03  0.4680445E+03  0.5141518E+03  0.5544954E+03  0.5936324E+03  0.6315143E+03  0.6680788E+03
           35 -0.1575001E+03 -0.1025071E+03 -0.4954299E+02  0.1677470E+01  0.5124090E+02  0.1080583E+03  0.1631238E+03  0.2166369E+03  0.2687032E+03  0.3193722E+03  0.3686537E+03  0.4165253E+03  0.4629382E+03  0.5078216E+03  0.5507075E+03  0.5920009E+03  0.6317836E+03  0.6700168E+03
           36 -0.1450157E+03 -0.9295074E+02 -0.4233253E+02  0.6851536E+01  0.5455111E+02  0.1105722E+03  0.1648622E+03  0.2175787E+03  0.2688096E+03  0.3185948E+03  0.3669371E+03  0.4138069E+03  0.4591468E+03  0.5028815E+03  0.5483769E+03  0.5917363E+03  0.6333351E+03  0.6731974E+03
           37 -0.1310203E+03 -0.8155565E+02 -0.3327799E+02  0.1381589E+02  0.5968575E+02  0.1146627E+03  0.1680272E+03  0.2198606E+03  0.2702142E+03  0.3191080E+03  0.3665323E+03  0.4124466E+03  0.4567724E+03  0.4993676E+03  0.5473708E+03  0.5927304E+03  0.6360962E+03  0.6775694E+03
           38 -0.1152815E+03 -0.6846830E+02 -0.2255363E+02  0.2241797E+02  0.6639876E+02  0.1202463E+03  0.1726066E+03  0.2235058E+03  0.2729594E+03  0.3209669E+03  0.3675073E+03  0.4125365E+03  0.4559789E+03  0.4977085E+03  0.5477489E+03  0.5949486E+03  0.6399704E+03  0.6829751E+03
           39 -0.9826662E+02 -0.5400521E+02 -0.1039895E+02  0.3246900E+02  0.7453702E+02  0.1272339E+03  0.1785637E+03  0.2285110E+03  0.2770630E+03  0.3242015E+03  0.3698987E+03  0.4141144E+03  0.4567960E+03  0.4978818E+03  0.5495582E+03  0.5984662E+03  0.6450652E+03  0.6895464E+03
           40 -0.8033432E+02 -0.3842465E+02  0.2983075E+01  0.4380675E+02  0.8396631E+02  0.1355392E+03  0.1858517E+03  0.2348583E+03  0.2825248E+03  0.3288204E+03  0.3737132E+03  0.4171691E+03  0.4591563E+03  0.4996662E+03  0.5528541E+03  0.6033388E+03  0.6514224E+03  0.6973050E+03
           41 -0.6161216E+02 -0.2190354E+02  0.1742381E+02  0.5628671E+02  0.9457225E+02  0.1450861E+03  0.1944253E+03  0.2425238E+03  0.2893341E+03  0.3348182E+03  0.3789418E+03  0.4216722E+03  0.4629791E+03  0.5028450E+03  0.5575642E+03  0.6094635E+03  0.6588796E+03  0.7060308E+03
           42 -0.4224429E+02 -0.4580099E+01  0.3279537E+02  0.6979695E+02  0.1062653E+03  0.1558167E+03  0.2042481E+03  0.2514854E+03  0.2974775E+03  0.3421849E+03  0.3855741E+03  0.4276119E+03  0.4682591E+03  0.5074487E+03  0.5636478E+03  0.6167955E+03  0.6673975E+03  0.7156516E+03
           43 -0.2232815E+02  0.1346022E+02  0.4902396E+02  0.8427542E+02  0.1189937E+03  0.1677032E+03  0.2153014E+03  0.2617291E+03  0.3069429E+03  0.3509091E+03  0.3935997E+03  0.4349892E+03  0.4750505E+03  0.5137442E+03  0.5711449E+03  0.6254529E+03  0.6771781E+03  0.7265208E+03
           44 -0.1838598E+01  0.3225370E+02  0.6615531E+02  0.9977701E+02  0.1328154E+03  0.1807655E+03  0.2275897E+03  0.2732513E+03  0.3177212E+03  0.3609764E+03  0.4029981E+03  0.4437729E+03  0.4832989E+03  0.5216196E+03  0.5799808E+03  0.6353412E+03  0.6881032E+03  0.7384735E+03
           45  0.1920561E+02  0.5180049E+02  0.8421103E+02  0.1163482E+03  0.1478179E+03  0.1950496E+03  0.2411330E+03  0.2860562E+03  0.3298060E+03  0.3723708E+03  0.4137411E+03  0.4539075E+03  0.4928571E+03  0.5305511E+03  0.5897796E+03  0.6460607E+03  0.6997425E+03  0.7510285E+03
           46  0.4060701E+02  0.7192536E+02  0.1030503E+03  0.1338911E+03  0.1641100E+03  0.2106051E+03  0.2559543E+03  0.3001501E+03  0.3431911E+03  0.3850772E+03  0.4258089E+03  0.4653864E+03  0.5038091E+03  0.5410728E+03  0.6010069E+03  0.6581336E+03  0.7126681E+03  0.7648173E+03
           47  0.6242122E+02  0.9268837E+02  0.1227553E+03  0.1525177E+03  0.1816724E+03  0.2274515E+03  0.2720689E+03  0.3155362E+03  0.3578676E+03  0.3990760E+03  0.4391723E+03  0.4781668E+03  0.5160766E+03  0.5529546E+03  0.6135736E+03  0.6714749E+03  0.7267677E+03  0.7797298E+03
           48  0.8413208E+02  0.1136110E+03  0.1429199E+03  0.1719694E+03  0.2005704E+03  0.2456247E+03  0.2894935E+03  0.3322146E+03  0.3738217E+03  0.4143420E+03  0.4537948E+03  0.4921919E+03  0.5295343E+03  0.5657919E+03  0.6281050E+03  0.6868301E+03  0.7427795E+03  0.7962475E+03
           49  0.1064743E+03  0.1354883E+03  0.1642769E+03  0.1927798E+03  0.2209256E+03  0.2651660E+03  0.3082433E+03  0.3501797E+03  0.3910324E+03  0.4308445E+03  0.4696441E+03  0.5074483E+03  0.5442660E+03  0.5800931E+03  0.6425738E+03  0.7017384E+03  0.7581426E+03  0.8118932E+03
           50  0.1292273E+03  0.1578428E+03  0.1862871E+03  0.2144536E+03  0.2422018E+03  0.2860595E+03  0.3283284E+03  0.3694156E+03  0.4094646E+03  0.4485382E+03  0.4866684E+03  0.5238748E+03  0.5601824E+03  0.5956603E+03  0.6581668E+03  0.7176529E+03  0.7744697E+03  0.8286947E+03
           51  0.1540575E+03  0.1825336E+03  0.2109315E+03  0.2391711E+03  0.2671526E+03  0.3088600E+03  0.3498247E+03  0.3898886E+03  0.4290587E+03  0.4673576E+03  0.5047981E+03  0.5413820E+03  0.5771018E+03  0.6119380E+03  0.6749013E+03  0.7346218E+03  0.7918206E+03  0.8467396E+03
           52  0.1777239E+03  0.2063782E+03  0.2349789E+03  0.2634625E+03  0.2917091E+03  0.3325710E+03  0.3724142E+03  0.4114415E+03  0.4497042E+03  0.4872138E+03  0.5239655E+03  0.5599410E+03  0.5951020E+03  0.6293570E+03  0.6921400E+03  0.7518950E+03  0.8093793E+03  0.8649169E+03
           53  0.2029935E+03  0.2320262E+03  0.2610204E+03  0.2899193E+03  0.3186485E+03  0.3575371E+03  0.3960035E+03  0.4339277E+03  0.4712675E+03  0.5079952E+03  0.5440835E+03  0.5795035E+03  0.6142281E+03  0.6482520E+03  0.7099565E+03  0.7694001E+03  0.8270051E+03  0.8830577E+03
           54  0.2276098E+03  0.2571534E+03  0.2866897E+03  0.3161639E+03  0.3455041E+03  0.3830293E+03  0.4202618E+03  0.4571319E+03  0.4935822E+03  0.5295627E+03  0.5650271E+03  0.5999307E+03  0.6342342E+03  0.6679178E+03  0.7287582E+03  0.7878353E+03  0.8454752E+03  0.9019971E+03
           55  0.2520189E+03  0.2821687E+03  0.3123706E+03  0.3425578E+03  0.3726639E+03  0.4088846E+03  0.4449676E+03  0.4808537E+03  0.5164756E+03  0.5517680E+03  0.5866673E+03  0.6211089E+03  0.6550231E+03  0.6883307E+03  0.7483869E+03  0.8070168E+03  0.8645830E+03  0.9214642E+03
