     X                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21             22             23             24             25             26             27             28             29             30             31             32             33             34             35             36             37             38             39             40             41             42
           21  0.8016795E+05  0.8017188E+05  0.8017906E+05  0.8018487E+05  0.8018927E+05  0.8019179E+05  0.8019316E+05  0.8019457E+05  0.8019602E+05  0.8019750E+05  0.8019900E+05  0.8020052E+05  0.8020206E+05  0.8020361E+05  0.8020517E+05  0.8020674E+05  0.8020831E+05  0.8020989E+05  0.8021147E+05  0.8021306E+05  0.8021464E+05  0.8021623E+05  0.8021782E+05  0.8021941E+05  0.8022101E+05  0.8022261E+05  0.8022420E+05  0.8022580E+05  0.8022740E+05  0.8022900E+05  0.8023060E+05  0.8023219E+05  0.8023379E+05  0.8023539E+05  0.8023698E+05  0.8023858E+05  0.8024018E+05  0.8024179E+05  0.8024342E+05  0.8024546E+05  0.8024764E+05  0.8024859E+05
           22  0.8021202E+05  0.8021618E+05  0.8022377E+05  0.8022992E+05  0.8023450E+05  0.8023706E+05  0.8023846E+05  0.8023992E+05  0.8024142E+05  0.8024297E+05  0.8024455E+05  0.8024614E+05  0.8024774E+05  0.8024935E+05  0.8025096E+05  0.8025257E+05  0.8025417E+05  0.8025577E+05  0.8025737E+05  0.8025896E+05  0.8026055E+05  0.8026213E+05  0.8026371E+05  0.8026529E+05  0.8026686E+05  0.8026844E+05  0.8027001E+05  0.8027158E+05  0.8027316E+05  0.8027474E+05  0.8027632E+05  0.8027791E+05  0.8027950E+05  0.8028110E+05  0.8028272E+05  0.8028435E+05  0.8028600E+05  0.8028769E+05  0.8028942E+05  0.8029160E+05  0.8029389E+05  0.8029488E+05
           23  0.8025453E+05  0.8025873E+05  0.8026653E+05  0.8027315E+05  0.8027864E+05  0.8028179E+05  0.8028324E+05  0.8028483E+05  0.8028650E+05  0.8028821E+05  0.8028994E+05  0.8029166E+05  0.8029338E+05  0.8029508E+05  0.8029676E+05  0.8029842E+05  0.8030007E+05  0.8030169E+05  0.8030330E+05  0.8030490E+05  0.8030648E+05  0.8030805E+05  0.8030962E+05  0.8031117E+05  0.8031272E+05  0.8031427E+05  0.8031581E+05  0.8031736E+05  0.8031890E+05  0.8032045E+05  0.8032200E+05  0.8032356E+05  0.8032513E+05  0.8032671E+05  0.8032830E+05  0.8032991E+05  0.8033155E+05  0.8033321E+05  0.8033491E+05  0.8033712E+05  0.8033947E+05  0.8034049E+05
           24  0.8029454E+05  0.8029864E+05  0.8030643E+05  0.8031347E+05  0.8031999E+05  0.8032446E+05  0.8032682E+05  0.8032909E+05  0.8033125E+05  0.8033334E+05  0.8033534E+05  0.8033728E+05  0.8033915E+05  0.8034096E+05  0.8034272E+05  0.8034443E+05  0.8034611E+05  0.8034775E+05  0.8034936E+05  0.8035095E+05  0.8035251E+05  0.8035406E+05  0.8035559E+05  0.8035711E+05  0.8035862E+05  0.8036012E+05  0.8036162E+05  0.8036312E+05  0.8036462E+05  0.8036612E+05  0.8036762E+05  0.8036913E+05  0.8037065E+05  0.8037218E+05  0.8037372E+05  0.8037528E+05  0.8037685E+05  0.8037844E+05  0.8038004E+05  0.8038217E+05  0.8038450E+05  0.8038557E+05
           25  0.8033732E+05  0.8034125E+05  0.8034890E+05  0.8035616E+05  0.8036307E+05  0.8036822E+05  0.8037136E+05  0.8037418E+05  0.8037676E+05  0.8037915E+05  0.8038136E+05  0.8038344E+05  0.8038541E+05  0.8038728E+05  0.8038907E+05  0.8039079E+05  0.8039246E+05  0.8039407E+05  0.8039565E+05  0.8039719E+05  0.8039870E+05  0.8040019E+05  0.8040166E+05  0.8040312E+05  0.8040457E+05  0.8040601E+05  0.8040744E+05  0.8040887E+05  0.8041031E+05  0.8041175E+05  0.8041319E+05  0.8041464E+05  0.8041609E+05  0.8041756E+05  0.8041903E+05  0.8042051E+05  0.8042200E+05  0.8042349E+05  0.8042497E+05  0.8042704E+05  0.8042964E+05  0.8043096E+05
           26  0.8038353E+05  0.8038736E+05  0.8039496E+05  0.8040245E+05  0.8041005E+05  0.8041558E+05  0.8041866E+05  0.8042147E+05  0.8042404E+05  0.8042640E+05  0.8042858E+05  0.8043061E+05  0.8043252E+05  0.8043432E+05  0.8043602E+05  0.8043766E+05  0.8043923E+05  0.8044075E+05  0.8044223E+05  0.8044367E+05  0.8044509E+05  0.8044648E+05  0.8044786E+05  0.8044922E+05  0.8045058E+05  0.8045193E+05  0.8045328E+05  0.8045463E+05  0.8045598E+05  0.8045734E+05  0.8045870E+05  0.8046007E+05  0.8046146E+05  0.8046285E+05  0.8046426E+05  0.8046568E+05  0.8046712E+05  0.8046856E+05  0.8047001E+05  0.8047210E+05  0.8047501E+05  0.8047656E+05
           27  0.8043331E+05  0.8043744E+05  0.8044539E+05  0.8045277E+05  0.8046014E+05  0.8046549E+05  0.8046837E+05  0.8047092E+05  0.8047319E+05  0.8047526E+05  0.8047716E+05  0.8047892E+05  0.8048057E+05  0.8048214E+05  0.8048363E+05  0.8048507E+05  0.8048645E+05  0.8048780E+05  0.8048911E+05  0.8049040E+05  0.8049167E+05  0.8049293E+05  0.8049417E+05  0.8049541E+05  0.8049664E+05  0.8049787E+05  0.8049911E+05  0.8050035E+05  0.8050160E+05  0.8050286E+05  0.8050413E+05  0.8050542E+05  0.8050672E+05  0.8050804E+05  0.8050939E+05  0.8051075E+05  0.8051215E+05  0.8051357E+05  0.8051502E+05  0.8051709E+05  0.8051998E+05  0.8052154E+05
           28  0.8049278E+05  0.8049778E+05  0.8050658E+05  0.8051293E+05  0.8051703E+05  0.8051943E+05  0.8052119E+05  0.8052278E+05  0.8052425E+05  0.8052563E+05  0.8052694E+05  0.8052819E+05  0.8052941E+05  0.8053060E+05  0.8053176E+05  0.8053290E+05  0.8053402E+05  0.8053513E+05  0.8053622E+05  0.8053731E+05  0.8053839E+05  0.8053947E+05  0.8054054E+05  0.8054162E+05  0.8054271E+05  0.8054379E+05  0.8054489E+05  0.8054600E+05  0.8054713E+05  0.8054827E+05  0.8054943E+05  0.8055061E+05  0.8055181E+05  0.8055304E+05  0.8055430E+05  0.8055559E+05  0.8055692E+05  0.8055829E+05  0.8055971E+05  0.8056175E+05  0.8056460E+05  0.8056616E+05
           29  0.8055529E+05  0.8056174E+05  0.8057192E+05  0.8057702E+05  0.8057714E+05  0.8057572E+05  0.8057562E+05  0.8057577E+05  0.8057611E+05  0.8057659E+05  0.8057717E+05  0.8057783E+05  0.8057854E+05  0.8057930E+05  0.8058008E+05  0.8058089E+05  0.8058172E+05  0.8058256E+05  0.8058341E+05  0.8058427E+05  0.8058514E+05  0.8058601E+05  0.8058690E+05  0.8058780E+05  0.8058871E+05  0.8058963E+05  0.8059057E+05  0.8059153E+05  0.8059251E+05  0.8059351E+05  0.8059454E+05  0.8059559E+05  0.8059667E+05  0.8059779E+05  0.8059893E+05  0.8060011E+05  0.8060132E+05  0.8060257E+05  0.8060384E+05  0.8060571E+05  0.8060847E+05  0.8061002E+05
           30  0.8061088E+05  0.8061834E+05  0.8062935E+05  0.8063359E+05  0.8063188E+05  0.8062881E+05  0.8062773E+05  0.8062707E+05  0.8062673E+05  0.8062664E+05  0.8062673E+05  0.8062696E+05  0.8062730E+05  0.8062772E+05  0.8062821E+05  0.8062874E+05  0.8062930E+05  0.8062989E+05  0.8063051E+05  0.8063115E+05  0.8063180E+05  0.8063247E+05  0.8063316E+05  0.8063387E+05  0.8063459E+05  0.8063533E+05  0.8063609E+05  0.8063688E+05  0.8063769E+05  0.8063854E+05  0.8063941E+05  0.8064032E+05  0.8064126E+05  0.8064224E+05  0.8064326E+05  0.8064433E+05  0.8064543E+05  0.8064657E+05  0.8064775E+05  0.8064952E+05  0.8065211E+05  0.8065353E+05
