     X                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18
           30  0.1490063E+04  0.1496226E+04  0.1500816E+04  0.1504477E+04  0.1507668E+04  0.1514816E+04  0.1521422E+04  0.1527712E+04  0.1533922E+04  0.1540281E+04  0.1547011E+04  0.1554337E+04  0.1562493E+04  0.1571761E+04  0.1576849E+04  0.1582047E+04  0.1587597E+04  0.1593861E+04
           31  0.1553503E+04  0.1555914E+04  0.1557847E+04  0.1559391E+04  0.1560472E+04  0.1566610E+04  0.1572214E+04  0.1577534E+04  0.1582798E+04  0.1588213E+04  0.1593977E+04  0.1600280E+04  0.1607310E+04  0.1615241E+04  0.1619984E+04  0.1624850E+04  0.1630005E+04  0.1635618E+04
           32  0.1617555E+04  0.1615675E+04  0.1614781E+04  0.1614273E+04  0.1613982E+04  0.1618843E+04  0.1623235E+04  0.1627402E+04  0.1631552E+04  0.1635868E+04  0.1640515E+04  0.1645653E+04  0.1651423E+04  0.1657930E+04  0.1662185E+04  0.1666474E+04  0.1670961E+04  0.1675816E+04
           33  0.1678751E+04  0.1675283E+04  0.1672250E+04  0.1669856E+04  0.1668129E+04  0.1671468E+04  0.1674443E+04  0.1677285E+04  0.1680172E+04  0.1683252E+04  0.1686658E+04  0.1690516E+04  0.1694944E+04  0.1700034E+04  0.1703666E+04  0.1707170E+04  0.1710766E+04  0.1714684E+04
           34  0.1743451E+04  0.1736135E+04  0.1730631E+04  0.1726259E+04  0.1722856E+04  0.1724409E+04  0.1725764E+04  0.1727130E+04  0.1728631E+04  0.1730364E+04  0.1732425E+04  0.1734908E+04  0.1737921E+04  0.1741578E+04  0.1744365E+04  0.1746829E+04  0.1749272E+04  0.1751989E+04
           35  0.1804903E+04  0.1796996E+04  0.1789828E+04  0.1783616E+04  0.1778265E+04  0.1777524E+04  0.1777074E+04  0.1776860E+04  0.1776890E+04  0.1777198E+04  0.1777833E+04  0.1778854E+04  0.1780357E+04  0.1782579E+04  0.1784244E+04  0.1785386E+04  0.1786397E+04  0.1787605E+04
           36  0.1868267E+04  0.1857287E+04  0.1848085E+04  0.1840143E+04  0.1833172E+04  0.1830379E+04  0.1828176E+04  0.1826373E+04  0.1824904E+04  0.1823747E+04  0.1822904E+04  0.1822383E+04  0.1822173E+04  0.1822153E+04  0.1822315E+04  0.1821890E+04  0.1821274E+04  0.1820728E+04
           37  0.1927064E+04  0.1915089E+04  0.1904604E+04  0.1895340E+04  0.1887066E+04  0.1882698E+04  0.1878913E+04  0.1875587E+04  0.1872637E+04  0.1870015E+04  0.1867690E+04  0.1865636E+04  0.1863823E+04  0.1862251E+04  0.1860399E+04  0.1858163E+04  0.1855760E+04  0.1853354E+04
           38  0.1984227E+04  0.1971381E+04  0.1959923E+04  0.1949637E+04  0.1940327E+04  0.1934477E+04  0.1929227E+04  0.1924453E+04  0.1920069E+04  0.1916011E+04  0.1912228E+04  0.1908668E+04  0.1905253E+04  0.1901838E+04  0.1897860E+04  0.1893735E+04  0.1889482E+04  0.1885188E+04
           39  0.2039585E+04  0.2026153E+04  0.2014030E+04  0.2002989E+04  0.1992861E+04  0.1985690E+04  0.1979091E+04  0.1972954E+04  0.1967195E+04  0.1961750E+04  0.1956559E+04  0.1951563E+04  0.1946683E+04  0.1941789E+04  0.1935873E+04  0.1929826E+04  0.1923645E+04  0.1917386E+04
           40  0.2093001E+04  0.2079476E+04  0.2067006E+04  0.2055457E+04  0.2044704E+04  0.2036352E+04  0.2028510E+04  0.2021090E+04  0.2014021E+04  0.2007243E+04  0.2000702E+04  0.1994345E+04  0.1988127E+04  0.1982036E+04  0.1974435E+04  0.1966456E+04  0.1958292E+04  0.1950023E+04
           41  0.2145053E+04  0.2131600E+04  0.2118982E+04  0.2107119E+04  0.2095932E+04  0.2086511E+04  0.2077515E+04  0.2068882E+04  0.2060561E+04  0.2052505E+04  0.2044664E+04  0.2036992E+04  0.2029447E+04  0.2022041E+04  0.2012319E+04  0.2002334E+04  0.1992192E+04  0.1982013E+04
           42  0.2196068E+04  0.2182778E+04  0.2170139E+04  0.2158105E+04  0.2146646E+04  0.2136243E+04  0.2126154E+04  0.2116359E+04  0.2106835E+04  0.2097549E+04  0.2088458E+04  0.2079509E+04  0.2070625E+04  0.2061679E+04  0.2049635E+04  0.2037628E+04  0.2025477E+04  0.2013152E+04
           43  0.2246376E+04  0.2233304E+04  0.2220720E+04  0.2208609E+04  0.2196988E+04  0.2185651E+04  0.2174489E+04  0.2163557E+04  0.2152863E+04  0.2142391E+04  0.2132106E+04  0.2121957E+04  0.2111870E+04  0.2101701E+04  0.2087828E+04  0.2073835E+04  0.2059656E+04  0.2045229E+04
