     Y                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21             22             23             24             25             26             27             28             29             30             31             32             33             34             35             36             37             38             39             40             41             42
           21  0.1205910E+06  0.1206128E+06  0.1206566E+06  0.1207010E+06  0.1207456E+06  0.1207758E+06  0.1207915E+06  0.1208071E+06  0.1208228E+06  0.1208384E+06  0.1208541E+06  0.1208697E+06  0.1208854E+06  0.1209011E+06  0.1209168E+06  0.1209324E+06  0.1209481E+06  0.1209638E+06  0.1209795E+06  0.1209952E+06  0.1210109E+06  0.1210266E+06  0.1210422E+06  0.1210579E+06  0.1210736E+06  0.1210892E+06  0.1211048E+06  0.1211204E+06  0.1211360E+06  0.1211516E+06  0.1211672E+06  0.1211827E+06  0.1211983E+06  0.1212138E+06  0.1212293E+06  0.1212449E+06  0.1212604E+06  0.1212760E+06  0.1212916E+06  0.1213108E+06  0.1213338E+06  0.1213453E+06
           22  0.1205829E+06  0.1206053E+06  0.1206502E+06  0.1206956E+06  0.1207414E+06  0.1207721E+06  0.1207877E+06  0.1208032E+06  0.1208188E+06  0.1208344E+06  0.1208500E+06  0.1208656E+06  0.1208812E+06  0.1208968E+06  0.1209124E+06  0.1209281E+06  0.1209437E+06  0.1209594E+06  0.1209750E+06  0.1209907E+06  0.1210064E+06  0.1210220E+06  0.1210376E+06  0.1210533E+06  0.1210689E+06  0.1210845E+06  0.1211001E+06  0.1211156E+06  0.1211312E+06  0.1211467E+06  0.1211623E+06  0.1211778E+06  0.1211933E+06  0.1212088E+06  0.1212243E+06  0.1212398E+06  0.1212553E+06  0.1212708E+06  0.1212863E+06  0.1213060E+06  0.1213300E+06  0.1213420E+06
           23  0.1205751E+06  0.1205979E+06  0.1206439E+06  0.1206902E+06  0.1207371E+06  0.1207684E+06  0.1207838E+06  0.1207992E+06  0.1208147E+06  0.1208302E+06  0.1208457E+06  0.1208613E+06  0.1208768E+06  0.1208924E+06  0.1209081E+06  0.1209237E+06  0.1209393E+06  0.1209550E+06  0.1209706E+06  0.1209862E+06  0.1210019E+06  0.1210175E+06  0.1210331E+06  0.1210487E+06  0.1210643E+06  0.1210799E+06  0.1210954E+06  0.1211109E+06  0.1211265E+06  0.1211420E+06  0.1211575E+06  0.1211730E+06  0.1211884E+06  0.1212039E+06  0.1212193E+06  0.1212347E+06  0.1212502E+06  0.1212656E+06  0.1212810E+06  0.1213012E+06  0.1213262E+06  0.1213387E+06
           24  0.1205678E+06  0.1205911E+06  0.1206378E+06  0.1206848E+06  0.1207325E+06  0.1207648E+06  0.1207798E+06  0.1207950E+06  0.1208103E+06  0.1208257E+06  0.1208412E+06  0.1208567E+06  0.1208723E+06  0.1208879E+06  0.1209036E+06  0.1209192E+06  0.1209349E+06  0.1209506E+06  0.1209662E+06  0.1209818E+06  0.1209975E+06  0.1210131E+06  0.1210287E+06  0.1210443E+06  0.1210598E+06  0.1210754E+06  0.1210909E+06  0.1211064E+06  0.1211219E+06  0.1211374E+06  0.1211528E+06  0.1211682E+06  0.1211836E+06  0.1211990E+06  0.1212144E+06  0.1212298E+06  0.1212451E+06  0.1212604E+06  0.1212757E+06  0.1212964E+06  0.1213224E+06  0.1213354E+06
           25  0.1205604E+06  0.1205840E+06  0.1206312E+06  0.1206786E+06  0.1207266E+06  0.1207590E+06  0.1207741E+06  0.1207894E+06  0.1208049E+06  0.1208205E+06  0.1208361E+06  0.1208518E+06  0.1208675E+06  0.1208833E+06  0.1208990E+06  0.1209147E+06  0.1209305E+06  0.1209462E+06  0.1209619E+06  0.1209776E+06  0.1209932E+06  0.1210088E+06  0.1210244E+06  0.1210400E+06  0.1210555E+06  0.1210711E+06  0.1210866E+06  0.1211020E+06  0.1211175E+06  0.1211329E+06  0.1211483E+06  0.1211637E+06  0.1211790E+06  0.1211943E+06  0.1212096E+06  0.1212249E+06  0.1212402E+06  0.1212554E+06  0.1212706E+06  0.1212916E+06  0.1213183E+06  0.1213316E+06
           26  0.1205527E+06  0.1205764E+06  0.1206238E+06  0.1206713E+06  0.1207189E+06  0.1207507E+06  0.1207666E+06  0.1207826E+06  0.1207986E+06  0.1208146E+06  0.1208306E+06  0.1208466E+06  0.1208626E+06  0.1208786E+06  0.1208945E+06  0.1209103E+06  0.1209262E+06  0.1209420E+06  0.1209577E+06  0.1209735E+06  0.1209891E+06  0.1210048E+06  0.1210204E+06  0.1210360E+06  0.1210515E+06  0.1210670E+06  0.1210824E+06  0.1210979E+06  0.1211133E+06  0.1211286E+06  0.1211440E+06  0.1211593E+06  0.1211746E+06  0.1211898E+06  0.1212051E+06  0.1212203E+06  0.1212355E+06  0.1212506E+06  0.1212658E+06  0.1212868E+06  0.1213137E+06  0.1213271E+06
           27  0.1205447E+06  0.1205683E+06  0.1206158E+06  0.1206632E+06  0.1207101E+06  0.1207418E+06  0.1207587E+06  0.1207755E+06  0.1207922E+06  0.1208088E+06  0.1208253E+06  0.1208417E+06  0.1208580E+06  0.1208742E+06  0.1208903E+06  0.1209063E+06  0.1209222E+06  0.1209381E+06  0.1209539E+06  0.1209697E+06  0.1209854E+06  0.1210011E+06  0.1210167E+06  0.1210322E+06  0.1210477E+06  0.1210632E+06  0.1210786E+06  0.1210940E+06  0.1211094E+06  0.1211247E+06  0.1211399E+06  0.1211552E+06  0.1211704E+06  0.1211855E+06  0.1212007E+06  0.1212158E+06  0.1212309E+06  0.1212460E+06  0.1212611E+06  0.1212820E+06  0.1213089E+06  0.1213223E+06
           28  0.1205338E+06  0.1205579E+06  0.1206063E+06  0.1206548E+06  0.1207020E+06  0.1207330E+06  0.1207515E+06  0.1207694E+06  0.1207869E+06  0.1208040E+06  0.1208209E+06  0.1208376E+06  0.1208541E+06  0.1208705E+06  0.1208867E+06  0.1209029E+06  0.1209189E+06  0.1209348E+06  0.1209507E+06  0.1209665E+06  0.1209822E+06  0.1209978E+06  0.1210134E+06  0.1210289E+06  0.1210444E+06  0.1210598E+06  0.1210752E+06  0.1210905E+06  0.1211058E+06  0.1211210E+06  0.1211362E+06  0.1211513E+06  0.1211664E+06  0.1211815E+06  0.1211965E+06  0.1212115E+06  0.1212265E+06  0.1212415E+06  0.1212564E+06  0.1212773E+06  0.1213040E+06  0.1213174E+06
           29  0.1205196E+06  0.1205453E+06  0.1205968E+06  0.1206482E+06  0.1206983E+06  0.1207306E+06  0.1207491E+06  0.1207669E+06  0.1207844E+06  0.1208015E+06  0.1208184E+06  0.1208351E+06  0.1208516E+06  0.1208680E+06  0.1208842E+06  0.1209003E+06  0.1209163E+06  0.1209322E+06  0.1209481E+06  0.1209638E+06  0.1209795E+06  0.1209951E+06  0.1210106E+06  0.1210261E+06  0.1210415E+06  0.1210569E+06  0.1210721E+06  0.1210874E+06  0.1211026E+06  0.1211177E+06  0.1211328E+06  0.1211478E+06  0.1211628E+06  0.1211777E+06  0.1211926E+06  0.1212075E+06  0.1212223E+06  0.1212371E+06  0.1212519E+06  0.1212727E+06  0.1212994E+06  0.1213127E+06
           30  0.1205055E+06  0.1205335E+06  0.1205893E+06  0.1206446E+06  0.1206989E+06  0.1207343E+06  0.1207512E+06  0.1207680E+06  0.1207847E+06  0.1208013E+06  0.1208178E+06  0.1208342E+06  0.1208504E+06  0.1208666E+06  0.1208827E+06  0.1208987E+06  0.1209146E+06  0.1209304E+06  0.1209462E+06  0.1209619E+06  0.1209775E+06  0.1209930E+06  0.1210084E+06  0.1210238E+06  0.1210392E+06  0.1210544E+06  0.1210696E+06  0.1210847E+06  0.1210998E+06  0.1211148E+06  0.1211298E+06  0.1211447E+06  0.1211595E+06  0.1211743E+06  0.1211891E+06  0.1212038E+06  0.1212185E+06  0.1212331E+06  0.1212477E+06  0.1212684E+06  0.1212951E+06  0.1213084E+06
