     zb                    1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21             22             23             24             25             26             27             28             29             30             31             32             33             34             35             36             37             38             39             40             41             42
           21  0.2151979E+02  0.1338157E+02  0.1343084E+02  0.1445826E+02  0.1451003E+02  0.1472397E+02  0.1222079E+02  0.1145270E+02  0.1087237E+02  0.9997862E+01  0.9892270E+01  0.1013394E+02  0.1019225E+02  0.9978326E+01  0.9586316E+01  0.9858468E+01  0.1012633E+02  0.9915323E+01  0.9876745E+01  0.9766769E+01  0.1006152E+02  0.9677961E+01  0.9439277E+01  0.9331828E+01  0.9894097E+01  0.9700238E+01  0.8346452E+01  0.8175822E+01  0.5450975E+01  0.4388971E+01  0.4081947E+01  0.3840424E+01  0.3757076E+01  0.4074523E+01  0.4985296E+01  0.5374495E+01  0.5898067E+01  0.8510656E+01  0.1363316E+02  0.1456903E+02  0.1708989E+02  0.2116646E+02
           22  0.2151046E+02  0.1322633E+02  0.1343484E+02  0.1434671E+02  0.1425420E+02  0.1387587E+02  0.1237692E+02  0.1117893E+02  0.1071344E+02  0.1004218E+02  0.1000059E+02  0.1015307E+02  0.1017559E+02  0.9956875E+01  0.9520697E+01  0.9986570E+01  0.1031440E+02  0.1025456E+02  0.1012091E+02  0.9932209E+01  0.9904454E+01  0.9562427E+01  0.9434305E+01  0.9300578E+01  0.9883426E+01  0.9269415E+01  0.7770394E+01  0.7352462E+01  0.5337320E+01  0.4584731E+01  0.4431837E+01  0.4444365E+01  0.4261473E+01  0.4566835E+01  0.5349618E+01  0.5764308E+01  0.6178300E+01  0.8630316E+01  0.1371808E+02  0.1437570E+02  0.1693080E+02  0.2106146E+02
           23  0.2150146E+02  0.1307802E+02  0.1343846E+02  0.1424380E+02  0.1401268E+02  0.1407239E+02  0.1252851E+02  0.1091106E+02  0.1055687E+02  0.1008606E+02  0.1010834E+02  0.1017213E+02  0.1015891E+02  0.9787438E+01  0.9313872E+01  0.1023018E+02  0.1039569E+02  0.1044472E+02  0.1008480E+02  0.9611228E+01  0.9747606E+01  0.9446998E+01  0.9429289E+01  0.9269342E+01  0.9872758E+01  0.8838683E+01  0.7194378E+01  0.6529227E+01  0.5223770E+01  0.4780224E+01  0.4781261E+01  0.4862718E+01  0.4771478E+01  0.4763451E+01  0.5400573E+01  0.5953600E+01  0.6386515E+01  0.8749819E+01  0.1380268E+02  0.1436491E+02  0.1503870E+02  0.2095794E+02
           24  0.2149299E+02  0.1293906E+02  0.1344182E+02  0.1414765E+02  0.1407705E+02  0.1386055E+02  0.1179466E+02  0.1041999E+02  0.1027373E+02  0.1020466E+02  0.1023568E+02  0.1008361E+02  0.9910029E+01  0.9747944E+01  0.9233125E+01  0.1034570E+02  0.1063592E+02  0.1063396E+02  0.1004865E+02  0.9289893E+01  0.9590556E+01  0.9331371E+01  0.9424261E+01  0.9238126E+01  0.9862080E+01  0.8407761E+01  0.6618301E+01  0.5706501E+01  0.5110294E+01  0.4975574E+01  0.5130206E+01  0.5280256E+01  0.5280049E+01  0.5293518E+01  0.5822905E+01  0.6313538E+01  0.6748603E+01  0.8321057E+01  0.1194913E+02  0.1435415E+02  0.1500977E+02  0.2085568E+02
           25  0.2142965E+02  0.1294934E+02  0.1340914E+02  0.1413526E+02  0.1416668E+02  0.1421253E+02  0.1202147E+02  0.1049806E+02  0.1029822E+02  0.1029340E+02  0.1020687E+02  0.1023923E+02  0.1011373E+02  0.1001659E+02  0.9635111E+01  0.1037802E+02  0.1080675E+02  0.1088138E+02  0.9818972E+01  0.9205612E+01  0.9560070E+01  0.9337311E+01  0.9492517E+01  0.9354525E+01  0.9624780E+01  0.7868798E+01  0.6097563E+01  0.5148873E+01  0.5077779E+01  0.5199615E+01  0.5462689E+01  0.5661695E+01  0.5744535E+01  0.5794501E+01  0.6227559E+01  0.6651812E+01  0.7074573E+01  0.8347336E+01  0.1236791E+02  0.1428866E+02  0.1498201E+02  0.2075284E+02
           26  0.2142885E+02  0.1308773E+02  0.1331882E+02  0.1388965E+02  0.1426280E+02  0.1395102E+02  0.1211159E+02  0.1076431E+02  0.1043849E+02  0.1036253E+02  0.1013586E+02  0.1033275E+02  0.1037946E+02  0.1023950E+02  0.1035477E+02  0.1035676E+02  0.1072826E+02  0.1097534E+02  0.9776646E+01  0.9318502E+01  0.9571727E+01  0.9410743E+01  0.9632924E+01  0.9346748E+01  0.8073872E+01  0.6445419E+01  0.5816495E+01  0.5444293E+01  0.5313013E+01  0.5533728E+01  0.5738342E+01  0.5877737E+01  0.5972360E+01  0.6119509E+01  0.6511553E+01  0.6794597E+01  0.6995265E+01  0.8652407E+01  0.1209418E+02  0.1311685E+02  0.1492739E+02  0.2026150E+02
           27  0.2166699E+02  0.1307995E+02  0.1333895E+02  0.1365519E+02  0.1329074E+02  0.1299960E+02  0.1141378E+02  0.1080840E+02  0.1064998E+02  0.1058203E+02  0.1023311E+02  0.1023530E+02  0.1035349E+02  0.1026954E+02  0.1062686E+02  0.1043885E+02  0.1034764E+02  0.1046953E+02  0.1017921E+02  0.9420402E+01  0.9697422E+01  0.9275457E+01  0.9005201E+01  0.8694499E+01  0.7092922E+01  0.6200000E+01  0.5761921E+01  0.5609863E+01  0.5622785E+01  0.5977505E+01  0.6126888E+01  0.6222575E+01  0.6269552E+01  0.6462761E+01  0.6768894E+01  0.7060889E+01  0.6937124E+01  0.8851325E+01  0.1022396E+02  0.1415154E+02  0.1483173E+02  0.2002796E+02
           28  0.2154786E+02  0.1285668E+02  0.1344414E+02  0.1388332E+02  0.1265685E+02  0.1339327E+02  0.1051833E+02  0.1045137E+02  0.1051830E+02  0.1061147E+02  0.1033345E+02  0.1041531E+02  0.1020838E+02  0.1015673E+02  0.1030541E+02  0.1031900E+02  0.9932295E+01  0.9403238E+01  0.9622184E+01  0.9184167E+01  0.9325741E+01  0.8991720E+01  0.8402609E+01  0.7998284E+01  0.7031242E+01  0.6183633E+01  0.5897409E+01  0.5743778E+01  0.5973710E+01  0.6273002E+01  0.6460148E+01  0.6624299E+01  0.6784358E+01  0.6991186E+01  0.7068400E+01  0.7120865E+01  0.6927464E+01  0.9176205E+01  0.9976262E+01  0.1438772E+02  0.1479723E+02  0.2014811E+02
           29  0.2039897E+02  0.1284654E+02  0.1323361E+02  0.1326239E+02  0.1387221E+02  0.1230749E+02  0.1091627E+02  0.1034099E+02  0.1031576E+02  0.1045444E+02  0.1054523E+02  0.1051480E+02  0.9801637E+01  0.9749660E+01  0.1004396E+02  0.9958188E+01  0.9525918E+01  0.8409263E+01  0.9043273E+01  0.8874239E+01  0.8789980E+01  0.7650098E+01  0.7165835E+01  0.6799726E+01  0.5834228E+01  0.4650528E+01  0.5752917E+01  0.5956096E+01  0.6217992E+01  0.6574786E+01  0.6761557E+01  0.6918556E+01  0.7084092E+01  0.7280528E+01  0.7276960E+01  0.7239423E+01  0.7265894E+01  0.8150509E+01  0.9692533E+01  0.1301142E+02  0.1480446E+02  0.2029407E+02
           30  0.1845048E+02  0.1283078E+02  0.1295464E+02  0.1400773E+02  0.1411507E+02  0.1306082E+02  0.1213202E+02  0.1023417E+02  0.1057652E+02  0.1094809E+02  0.1098033E+02  0.9998343E+01  0.9334732E+01  0.9438538E+01  0.9800222E+01  0.1005802E+02  0.9916045E+01  0.7667730E+01  0.8713220E+01  0.9370786E+01  0.9136266E+01  0.7792332E+01  0.6720749E+01  0.6344806E+01  0.5253952E+01  0.5928373E+01  0.6320056E+01  0.6502442E+01  0.6627738E+01  0.6835782E+01  0.7034299E+01  0.7229900E+01  0.7280932E+01  0.7524876E+01  0.7504908E+01  0.7653091E+01  0.7635822E+01  0.7959102E+01  0.9721495E+01  0.1168168E+02  0.1503878E+02  0.2065166E+02
